paper_id,title,year,venue,task,tracking_type,modality,main_motivation,main_problem,main_contributions,method_modules,mamba_usage,degradation_handling,degradation_types,restoration_or_enhancement,image_level_or_feature_level,temporal_memory,dynamic_template_update,response_map_fusion,datasets,metrics,explicit_limitations,implicit_limitations,evidence_pages,relevance_to_our_paper,novelty_threat_level
2025_CVPR_MambaIRv2,MambaIRv2: Attentive State Space Restoration,2025,"CVPR, from PDF filename `2025_CVPR_MambaIRv2.pdf`","Image restoration, including classic/lightweight super-resolution, JPEG compression artifact reduction, and Gaussian color image denoising.",image restoration (not tracking),Single-image restoration from low-quality observations to high-quality images; not video or visual object tracking.,"The paper argues that Mamba-based image restoration backbones are promising but constrained by causal state-space modeling: each token depends only on previous tokens in the scanned sequence, which limits use of image-wide pixels and motivates a non-causal attentive state-space design.","The paper addresses the causal modeling mismatch between Mamba's scanned sequence processing and non-causal image restoration, aiming to let Mamba attend beyond scanned tokens and better connect distant but similar pixels.","Proposes the Attentive State-space Equation (ASE), using prompt learning inside Mamba's state-space equation to query semantically similar pixels beyond scanned sequences. | Develops Semantic Guided Neighboring (SGN) to place semantically similar pixels closer in the 1D sequence and reduce long-range decay. | Integrates ASE, SGN, and auxiliary modules into MambaIRv2 as an attentive state-space restoration backbone.","Attentive State Space Module (ASSM), Attentive State-space Equation (ASE), Semantic Guided Neighboring (SGN), Attentive State Space Groups (ASSGs), Attentive State Space Blocks (ASSBs), window MHSA, FFN, convolution, pixelshuffle, and denoising reconstruction convolution.","Mamba is modified through ASE to add prompt-based non-causal querying into the output matrix, and SGN reorders image tokens so semantically similar pixels are closer in the scanned sequence.","Yes, in image-restoration tasks; not in tracking. (evidence: pp. 1, 2, 5, 8)","Low-quality observations for SR, JPEG compression artifacts, and Gaussian color noise. Low-light, dehazing, deraining, and deblurring are discussed as related Mamba restoration work, not as MambaIRv2 experiments in the extracted main text.","Yes (evidence: pp. 1, 2, 5, 8)",Both: feature-level ASSM/ASE/SGN processing is used for image-level reconstruction.,Not reported for tracking; Mamba is used for image-token state-space restoration.,not reported,not reported,"DIV2K is reported for ablation training; Set5, Set14, BSDS100, Urban100, and Manga109 are used in SR tables; Classic5 and LIVE1 are used for JPEG CAR; CBSD68, Kodak24, McMaster, and Urban100 are used for Gaussian color denoising.",PSNR and SSIM for restoration quality; parameter count and MACs for efficiency comparisons.,"Not reported for the proposed MambaIRv2 method in the extracted main-paper text. The authors explicitly state limitations of existing Mamba-based restoration methods: causal modeling, redundant multi-directional scans, and long-range decay.",The paper does not test whether attentive state-space restoration improves RGB template-search tracking under image-quality degradation.,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It strengthens the evidence base for restoration-oriented Mamba by showing a non-causal attentive state-space design for restoration and by explicitly discussing degradation/restoration tasks. | Threatens: It reduces novelty for claims based only on restoration-oriented Mamba, non-causal Mamba restoration, or Mamba under image degradation. It also notes related Mamba restoration work for low-light, deraining, dehazing, and deblurring. | Remains unsolved: It does not report degradation-robust RGB template-search tracking, target-specific template/search restoration, temporal tracking memory, dynamic template update, or response-map fusion under degraded tracking conditions.",high
2025_CVPR_RGBE_MamTrack,Exploring Historical Information for RGBE Visual Tracking with Mamba,2025,CVPR 2025,"RGB-Event single-object visual tracking, with additional RGB-T generalization experiments",single-object tracking,RGB plus event; additional experiments use visible plus thermal infrared,The paper is motivated by the complexity of existing RGBE fusion modules and by the lack of effective historical information modeling for target appearance and motion changes.,The paper addresses adaptive RGB-event fusion and historical temporal modeling for robust RGBE tracking.,"MamTrack, a framework incorporating Mamba into RGBE multimodal tracking. | A Mamba-based Fusion Mamba module and Historical Decoder for adaptive multimodal fusion and target history modeling. | State-of-the-art results on multiple short-term and long-term RGBE benchmarks.","Multimodal Encoder, Fusion Mamba, Target-Aware Scan, Cross-Modality Scan, Historical Decoder, Historical State Aware module, Feature-Sequence Attention module, and center-based prediction head (p. 3-p. 5).","Mamba is used for modality-selective fusion and historical temporal modeling. Target-Aware Scan enhances template-search interaction with bidirectional SSM, Cross-Modality Scan adaptively fuses RGB and event modalities, and the Historical State Aware module captures historical states as a sequence (p. 4-p. 5).","Partial (evidence: pp. 1, 6, 8)","Fast motion, limited illumination, motion blur, partial occlusion, complex background, and general degraded-condition attributes are discussed.",not reported,Feature-level multimodal fusion and historical temporal modeling; no image restoration or enhancement is reported.,"Yes; the Historical Decoder uses Mamba-based Historical State Aware modeling and autoregressive queries to capture target appearance changes and motion trends (p. 1, p. 4-p. 5).",Not reported as an online template-update policy; historical information is modeled through the decoder rather than a stated degradation-aware template update.,"The center-based head outputs a classification score map, bounding-box size, and offset (p. 5).","VisEvent, FELT, FE108; additional RGB-T experiments on LasHeR and RGBT234.","Success Rate (SR), Precision Rate (PR), and Overlap Precision (OPT).",The authors state that they mainly focus on Mamba for modality fusion and do not leverage the high temporal resolution characteristics of event data; future work will explore this.,"MamTrack does not solve RGB-only degradation robustness through restoration; robustness is obtained from event/thermal complementary sensing, Mamba fusion, and historical temporal modeling.","pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It supports the missing-intersection analysis by showing Mamba used for multimodal fusion and temporal history, not restoration-oriented RGB degradation recovery. | Threatens: It threatens broad claims about Mamba not being used for template-search interaction, multimodal fusion, or historical tracking cues; Target-Aware Scan and the Historical Decoder directly cover these areas (p. 4-p. 5). | Remains unsolved: RGB-only degradation-robust template-search tracking using restoration-oriented Mamba remains not reported; event high temporal resolution is also not fully exploited by the authors.",medium
2025_CVPRW_SportMamba,SportMamba: Adaptive Non-Linear Multi-Object Tracking with State Space Models for Team Sports,2025,CVPR Workshop 2025,Online multi-object tracking for team sports,multi-object tracking,"RGB sports video detections, player tracklets, ReID appearance features, and motion predictions; not RGB single-object template-search tracking","The paper targets team-sports MOT, where fast motion, frequent occlusions, motion blur, ambiguous appearance, and nonlinear player trajectories make association difficult.",The paper addresses nonlinear motion prediction and robust detection-to-tracklet association in fast team-sports MOT.,"SportMamba, a hybrid online MOT model for fast-paced nonlinear team-sports tracking. | A Mamba-attention motion predictor that combines Mamba state-space modeling with self-attention. | A height-adaptive IoU with extended buffers for spatial association, plus benchmark results on SportsMOT and zero-shot VIP-HTD.","YOLOX detector, token embedding, Mamba-Attention Encoder, MHSA block, feed-forward network, prediction head, HCA/LCA association, HA-EIoU, ReID appearance features, tracklet memory, and dynamic EMA feature update (p. 3-p. 6).","Mamba is used for motion prediction from bounding-box tracklet sequences. The model encodes past object trajectories with token embedding, Mamba-Attention Encoder, MHSA refinement, FFN, stacked blocks, and an MLP prediction head for the next bounding box (p. 3, p. 4).","Partial (evidence: pp. 1, 6, 8)","Motion blur, occlusion, missed detections, and weakened appearance cues in sports videos.",not reported,Feature/association/motion-prediction level; no image restoration is reported.,"Yes; it uses past tracklets for motion prediction, hidden-state Mamba modeling, lost-tracklet memory, and dynamic tracklet feature updating (p. 3-p. 6).",Not reported as template update; it does use dynamic EMA for tracklet appearance features (p. 6).,"Not reported; association uses cost matrices, HA-EIoU, ReID similarity, and linear assignment rather than template-search response maps (p. 4, p. 5).",SportsMOT and VIP-HTD.,"HOTA, IDF1, AssA, DetA, and MOTA.","Severe motion blur can cause missed detections, weakened appearance cues, and broken tracklets.","The paper does not solve restoration-oriented degradation robustness for RGB template-search tracking; its blur handling is through motion prediction, association, ReID/EMA updates, and detector confidence.","pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It supports the missing-intersection analysis by showing Mamba used for nonlinear sports MOT motion prediction and association, while restoration-oriented Mamba for degraded RGB template-search features remains not reported. | Threatens: It threatens any broad claim that Mamba tracking papers ignore motion blur or occlusion, because SportMamba explicitly discusses both and includes dynamic EMA/association mechanisms (p. 1, p. 6, p. 8). | Remains unsolved: Severe blur remains an explicit limitation, and restoration/enhancement for RGB template-search tracking is not reported.",medium
2025_ICASSP_MambaMOT,MambaMOT: State-Space Model as Motion Predictor for Multi-Object Tracking,2025,ICASSP 2025,"Multi-object tracking (MOT), tracking-by-detection motion prediction",multi-object tracking,"RGB-video MOT through detector outputs and bounding-box tracklets; the Mamba model operates on trajectory boxes, not RGB template-search pairs",The paper is motivated by replacing Kalman-filter motion prediction in MOT when nonlinear motion and occlusion make linear assumptions unreliable.,The paper addresses learning-based motion prediction for MOT and evaluates whether Mamba can replace Kalman filtering in tracking-by-detection pipelines.,"MambaMOT, a Mamba-based motion predictor for MOT that predicts the next location from historical tracklets. | MambaMOT+, which adds trajectory embeddings from the same Mamba model to merge tracklets. | Benchmark evaluation on challenging MOT datasets including DanceTrack and SportsMOT.","Linear projection, Mamba blocks, hidden-state propagation, prediction head, optional embedding head, BYTE association, cosine-similarity/hierarchical clustering for MambaMOT+ tracklet merging (p. 2, p. 3, p. 4).","Mamba is used as a trajectory-sequence model. The paper describes hidden states ht updated over time, final outputs passed to the prediction head, and MambaMOT+ updating hidden state hT while generating predictions and embeddings (p. 2, p. 3).",not reported,Not reported for image-quality degradation; occlusion and nonlinear motion are discussed as tracking/motion challenges.,not reported,Not reported for restoration; motion is modeled at the bounding-box trajectory level.,"Yes; the Mamba recurrence propagates hidden states, and MambaMOT+ updates hidden state hT over tracklet sequences (p. 2, p. 3).",not reported,"Not reported; association is between predicted boxes and detections, with optional trajectory-feature clustering (p. 2-p. 4).","DanceTrack, SportsMOT, and MOT17 for trajectory training data; benchmark evaluation emphasizes DanceTrack and SportsMOT.","HOTA, IDF1, MOTA, AssA, DetA; the implementation section specifically names HOTA, IDF1, and MOTA as common tracking metrics.",Not reported for the proposed method.,"The method is a trajectory-level MOT motion predictor and does not address RGB template-search feature degradation, restoration, or image enhancement.","pp. 1, 2, 3, 4","Supports: It supports the missing-intersection analysis by showing Mamba used as a learned replacement for Kalman-filter motion prediction in MOT, not as restoration-oriented Mamba for degraded RGB template-search tracking. | Threatens: It threatens broad ""Mamba replaces Kalman in tracking"" novelty claims because the paper explicitly explores replacing Kalman filtering with Mamba (p. 1, p. 2). | Remains unsolved: Image-quality degradation, restoration/enhancement, and RGB SOT template-search robustness remain not reported; occlusion/nonlinear motion are addressed through trajectory modeling and association.",medium
2025_ICASSP_MambaTrack,MambaTrack: Exploiting Dual-Enhancement for Night UAV Tracking,2025,ICASSP,Night UAV single-object tracking with vision-language prompts,single-object tracking,RGB video plus language prompt,"The paper targets night UAV tracking, where poor illumination makes daylight-optimized trackers perform poorly in low-light conditions.",The paper addresses low-light/nighttime UAV tracking by combining image-level low-light enhancement with language-based semantic enhancement.,It proposes a Mamba-based baseline tracker for night UAV tracking. | It adds a Mamba-based low-light enhancer (MLLE) and a cross-modal Mamba (CMM) network for image and semantic enhancement. | It annotates language prompts for existing night UAV tracking datasets and evaluates on five night UAV benchmarks.,"Mamba-based low-light enhancer, visual Mamba encoder, tokenizer, language Mamba encoder, cross-modal Mamba network, classification/regression tracking head.","Mamba is used in the low-light enhancer, the visual encoder, the language encoder, and the cross-modal fusion network.","Partial (evidence: pp. 1, 3, 4)","Low-light/nighttime illumination; attribute evaluation also includes illumination variation, low resolution, occlusion, fast motion, and viewpoint change.","Yes (evidence: pp. 1, 3, 4)","Image-level low-light enhancement on cropped template/search regions, plus feature-level language enhancement.",not reported,not reported,"The tracking head predicts the target, and visualizations include response maps; no response-map fusion module is reported.","LOL for enhancer training; TrackingNet, GOT-10k, LaSOT, COCO, and WebUAV-3M for tracker training; DarkTrack2021, NAT2021, NAT2021L, UAVDark70, and UAVDark135 for evaluation.","AUC, precision (P), normalized precision (Pnorm), mACC, FPS, parameters, GPU memory.",not reported,The method is aimed at night/low-light UAV tracking and depends on language prompts; it does not establish RGB-only generic degradation robustness without extra language input.,"pp. 1, 2, 3, 4","Supports: It is direct evidence that Mamba can be used for image-level low-light enhancement inside a template-search tracker, but the degradation scope is nighttime/low-light rather than broad RGB degradation. | Threatens: It already combines a Mamba-based low-light enhancer with template/search tracking and could overlap with any proposal limited to night UAV low-light enhancement. | Remains unsolved: General degradation-robust RGB template-search tracking without reliance on language prompts, and restoration-oriented Mamba recovery beyond low-light/nighttime illumination, remain not demonstrated here.",high
2025_IEEE_Transaction_MambaVT,MambaVT: Spatio-Temporal Contextual Modeling for Robust RGB-T Tracking,2025,IEEE Transactions on Circuits and Systems for Video Technology,RGB-T single-object visual tracking,single-object tracking,RGB plus thermal infrared (visible-thermal),"The paper is motivated by the limited temporal exploitation and quadratic attention cost of Transformer-based RGB-T trackers, and by thermal infrared complementarity under difficult illumination.",The paper addresses robust RGB-T tracking by modeling long-range cross-frame appearance and short-term trajectory context with a pure Mamba framework.,A pure Mamba-based RGB-T tracking baseline for spatio-temporal contextual modeling. | Long-range cross-frame integration plus short-term historical trajectory prompts for global appearance and local motion modeling. | State-of-the-art results on RGB-T benchmarks with lower computation and memory costs.,"Patch embedding, coordinate embedding, bidirectional Vision Mamba encoder, long-range cross-frame integration, short-term trajectory prompts, online template memory selection, center-based box head, and FIFO historical position queue (p. 3-p. 5).","Mamba is used for spatio-temporal contextual modeling over multimodal, multi-frame template/search inputs and coordinate prompts. Bidirectional scanning enables global receptive fields, and Mamba's linear scaling supports multimodal/multisource inputs (p. 4).","Partial (evidence: pp. 1, 2, 6, 7, 10)","Low illumination, high illumination, abrupt illumination variation, low resolution, partial occlusion, motion blur, hyaline occlusion, frame loss, camera moving, fast motion, and thermal crossover appear as benchmark attributes or analysis cases.",not reported,Feature/context/motion modeling with RGB-T sensing; no image restoration or enhancement is reported.,"Yes; long-range cross-frame template integration, historical trajectory prompts, a historical position queue, and online template memory selection are used (p. 4-p. 5).","Yes; online template memory selection samples initial and later-period templates uniformly across tracked video, but it is not reported as degradation-aware (p. 4-p. 5).","Not reported; the extracted text reports a center-based box head, but no response-map design details.","GTOT, RGBT210, RGBT234, LasHeR, and VTUAV; generic VOT datasets GOT10k, LaSOT, and TrackingNet are also discussed for pretraining/evaluation context.","PR, SR, NPR, MSR, and MPR depending on benchmark.","Mamba parallelization is not as advanced as Transformer and current hardware lacks Mamba-specific acceleration, limiting speed. The authors also identify Frame Loss and Hyaline Occlusion as scenarios needing specialized modules.","Robustness is based on thermal infrared sensing, spatio-temporal context, and trajectory prompts rather than RGB-only image restoration or enhancement.","pp. 1, 2, 3, 4, 5, 6, 7, 10","Supports: It supports the missing-intersection analysis by showing Mamba used for RGB-T multimodal spatio-temporal tracking, not restoration-oriented RGB degradation recovery. | Threatens: It threatens broad claims about Mamba not being used for multimodal fusion, template memory, or temporal trajectory prompts in tracking (p. 3-p. 5). | Remains unsolved: RGB-only degraded template-search tracking with restoration-oriented Mamba remains not reported; robustness is sensor-assisted and context-based, and HO/FL remain explicit weaknesses.",medium
2025_IROS_MambaNUT,MambaNUT: Nighttime UAV Tracking via Mamba-based Adaptive Curriculum Learning,2025,IROS,Nighttime UAV single-object tracking,single-object tracking,RGB video,"The paper targets nighttime UAV tracking under low illumination, where standard UAV trackers trained mostly on daytime data degrade and nighttime data are scarce.","The paper addresses nighttime UAV tracking with an end-to-end Mamba tracker and adaptive curriculum learning, rather than using a separate low-light enhancer or domain-adaptation pipeline.",It proposes a pure Mamba-based nighttime UAV tracker with a one-stream Vision Mamba backbone and tracking head. | It introduces adaptive curriculum learning with a sampling scheduler and an adaptive data weighted loss scheduler for day/night imbalance. | It reports state-of-the-art nighttime UAV tracking results with low computational cost.,"Patch embedding, stacked bidirectional Vision Mamba encoders, adaptive curriculum learning, sampling scheduler, Adaptive Data Weighted loss scheduler, center-based tracking head.",Vision Mamba is the backbone; template and search patches are tokenized together and processed through bidirectional Vision Mamba encoders.,"Partial (evidence: pp. 1, 2, 3, 4, 5)",Nighttime/low-light conditions; not general degradation.,No,Feature-level robustness through Mamba representation learning and curriculum learning; no image restoration or low-light enhancement module in the proposed method.,not reported,not reported,"Center-based tracking head outputs offsets, box sizes, and an object classification score map; the highest classification score selects the target location.","Training uses GOT-10k, LaSOT, COCO, TrackingNet, BDD100K-Night, SHIFT-Night, and ExDark; evaluation uses NAT2024-1, NAT2021, and UAVDark135.","Precision, normalized precision, success rate, FPS, FLOPs, parameters.",not reported,"The curriculum learning is designed for nighttime/low-light tracking and day/night data imbalance, not for generic image degradation such as blur, compression, noise, or low resolution as a restoration target.","pp. 1, 2, 3, 4, 5, 6, 7","Supports: It supports the evidence that Mamba trackers can target low-light tracking without restoration, using Mamba mainly for efficient template-search feature modeling and curriculum learning. | Threatens: It narrows novelty for any claim that no Mamba tracker addresses nighttime UAV tracking or low-light robustness. | Remains unsolved: Restoration-oriented Mamba blocks for generic RGB template-search degradation are not studied; the method is nighttime-only and curriculum-based rather than restoration-guided.",medium
2026_IEEE_Transaction_MambaEVT,MambaEVT: Event Stream-Based Visual Object Tracking Using State Space Model,2026,IEEE Transactions on Circuits and Systems for Video Technology,Event-camera single-object visual tracking,single-object tracking,Event-only tracking using event streams converted into event images,The paper is motivated by event-camera tracking advantages and by limitations of Transformer-based event trackers that use static templates.,The paper addresses event-based template-search tracking with a pure Mamba backbone and learnable dynamic template generation.,"A pure Mamba-style event-camera visual tracking framework using Vision Mamba for feature extraction, interaction, and fusion. | A Memory Mamba dynamic template update strategy using short-term and long-term template libraries. | Experiments on EventVOT, VisEvent, and FE240hz validating effectiveness and efficiency.","Event image representation, Vision Mamba backbone, FCN tracking head, Memory Mamba, long-term memory library, short-term memory library, template-library update, and dynamic template generation (p. 4-p. 6).","Mamba is used as an efficient backbone and as a memory module for dynamic template generation. Vision Mamba extracts and interacts template/search features, while Memory Mamba fuses template sequences from memory into one dynamic template (p. 5-p. 6).","Partial (evidence: pp. 4, 5, 6)","Low light, high dynamic range, motion blur, fast motion, frame loss, occlusion-like disappearance, significant appearance variation, and cluttered backgrounds are discussed through event-camera tracking and memory.",not reported,Feature/template-memory level; no image restoration or enhancement is reported.,Yes; Memory Mamba uses short-term and long-term memory libraries for dynamic template generation (p. 5-p. 6).,"Yes; the method uses a learnable Memory Mamba update strategy and memory libraries, but it is not reported as degradation-aware specifically (p. 1, p. 5-p. 6).","The FCN tracking head outputs a target classification score map, local offset, and normalized bounding-box size; the paper also visualizes response maps (p. 5, p. 11).","EventVOT, FE240hz, and VisEvent.","Precision Rate (PR), Normalized Precision Rate (NPR), and Success Rate (SR).",The tracker has relatively low inference speed that limits real-time applicability; performance varies with Memory Mamba and backbone configurations; the current training strategy and sequence encoding may not fully exploit Mamba's long-sequence potential; backbone choice strongly affects representation.,The method is event-only and does not solve RGB-only image degradation or restoration-guided RGB template-search tracking.,"pp. 1, 2, 3, 4, 5, 6, 7, 11, 12","Supports: It supports the missing-intersection analysis by showing Mamba used for event-camera tracking, efficient backbone design, and dynamic template memory, not RGB restoration-oriented degradation recovery. | Threatens: It threatens broad claims that Mamba trackers do not use dynamic templates or memory, because Memory Mamba is explicitly used for dynamic template generation (p. 1, p. 5-p. 6). | Remains unsolved: RGB-only degradation robustness and restoration/enhancement for template-search tracking remain not reported; the template update is dynamic but not explicitly degradation-aware.",medium
2026_IEEE_Transaction_SMTrack,SMTrack: State-Aware Mamba for Efficient Temporal Modeling in Visual Tracking,2026,"IEEE Transactions on Image Processing, from extracted title page and PDF filename `2026_IEEE_Transaction_SMTrack.pdf`",Visual object tracking with efficient temporal modeling.,visual object tracking,RGB visual tracking. The paper explicitly contrasts SMTrack with MambaVT for RGB-T tracking.,"SMTrack is motivated by the cost and complexity of temporal modeling in CNN-, Transformer-, and earlier SSM-based trackers. It aims to use state propagation/updating to build long-range temporal interactions efficiently.",The paper addresses efficient long-range temporal modeling for RGB tracking by creating a state-aware Mamba/SSM tracker where the search region interacts with previous templates through hidden states instead of repeated template scanning.,Proposes SMTrack as a temporal modeling paradigm for visual tracking using hidden-state propagation/updating. | Proposes Selective State-Aware Space Model (SASM) with state-wise timescale parameters for diverse temporal cues. | Reports strong tracking performance with low computational costs.,"SASM blocks, state-wise and channel-wise timescale parameters, temporal causal flipping/scanning, hidden-state memory, multi-frame propagation, three-branch fully convolutional box head.",SMTrack builds on selective state-space/Mamba ideas but modifies them with SASM. Hidden states carry temporal cues; the search region interacts with scanned templates through saved hidden states; new target templates from tracked frames can update hidden states.,"Partial for template-update quality, but not image-degradation tracking in the restoration sense. (evidence: pp. 6, 7, 10, 11)","The paper mentions motion blur as a challenging scenario and ""template degradation"" in a template-evaluator ablation, but does not define synthetic blur/noise/compression/low-resolution degradation handling or image restoration.",not reported,Feature-level temporal hidden-state modeling; no image-level restoration/enhancement is reported.,"Yes. Hidden states of scanned templates are saved into memory, sampled during tracking, averaged as initial states, and used for multi-frame propagation. (evidence: pp. 6, 7, 10)","Yes. A new target template is cropped every 20 frames using tracking results and scanned to obtain hidden states saved to memory. This update is temporal/hidden-state based, not explicitly image-degradation-aware in the final design. (evidence: pp. 6, 7, 10)","Not reported as response-map fusion. The paper reports a classification score map, offset map, and box-size map in a box head.","Training uses COCO, LaSOT, GOT-10K, and TrackingNet. Evaluation reports GOT-10k, TrackingNet, LaSOT, LaSOText, AAV123, and NFS.","AO, SR, AUC, precision P, normalized precision PNorm, parameters/FLOPs or computational cost, FPS, and qualitative visualizations.",SASM has inferior parallelization capability to Transformer because advanced state-space models such as SASM and Mamba do not use matrix multiplication units optimized by GPUs/TPUs; this limits SMTrack's speed advantage over Transformer trackers on GPUs. The authors also report failure cases under out-of-view and occlusion.,"SMTrack is a temporal hidden-state tracker, not a restoration-guided tracker; its memory update is mostly temporal/state-based and not built around explicit image-quality degradation detection or restoration.","pp. 1, 2, 4, 5, 6, 7, 8, 10, 11","Supports: It strongly documents Mamba/SSM use for temporal memory, hidden states, dynamic template-state propagation, and efficient RGB tracking. | Threatens: It blocks novelty claims based only on Mamba temporal modeling, hidden-state memory, dynamic template update, or RGB tracking with Mamba. | Remains unsolved: It does not report restoration-oriented Mamba for degraded RGB template/search feature recovery, explicit synthetic image-degradation training, or restoration/enhancement-guided response design.",medium
InvTrack,InvTrack: Efficient Deep Object Tracking Neural Network with Invariant Feature Learning,Not reported in the extracted text.,Not reported in the extracted text; the first page contains placeholder IEEE-style publication metadata.,Single-object visual object tracking under image-quality degradation.,single-object tracking,RGB/video template-search tracking with clean and synthetically degraded template/search samples during training.,"InvTrack is motivated by the claim that many recent trackers improve architectures and matching modules but do not explicitly incorporate image-quality degradation into training objectives or architectures, leaving tracking vulnerable to blur, resolution loss, noise, and compression artifacts.",The paper addresses degradation-robust single-object Siamese tracking by enforcing feature consistency between clean and degraded template/search branches and by fusing clean/degraded matching cues before classification and bounding-box regression.,"Degradation-invariant learning for Siamese single-object tracking, with clean-degraded feature consistency on both template and search branches. | Degradation-aware template-search matching that fuses four clean/degraded response maps before classification and bounding-box regression. | A proposed residual dense block composed of low-pass residual modules using SConv, standard convolution, and residual propagation for stable feature extraction under degradation.","Synthetic image degradation operator D(), shared Siamese backbone, proposed residual dense blocks (PRDBs), low-pass residual modules (LPRMs), SConv and standard convolution branches, clean/degraded feature consistency loss, depthwise cross-correlation, response-map fusion function, classification head, and bounding-box regression head.","Not reported. The extracted text describes a Siamese tracker with PRDB/LPRM/SConv and transformer-layer prediction heads, but does not report Mamba or state-space modules.","Yes (evidence: pp. 7, 8, 10, 12)","Motion blur/Gaussian blur, resolution loss through downsampling/upsampling, additive Gaussian noise, salt-and-pepper noise, and JPEG compression artifacts.","No explicit restoration or image-enhancement output is reported; degradations are used for invariant tracking training, not for reconstructing a high-quality image.","Both image-level and feature-level: synthetic degradations are applied to image crops during training, while clean/degraded consistency is enforced on feature maps; response-map fusion acts at the matching/response level.","Not reported. The method defines tracking over frames and uses the first frame as template, but does not report a temporal memory module.",not reported,"Yes. It computes four response maps: clean search-clean template, clean search-degraded template, degraded search-clean template, and degraded search-degraded template; these are concatenated and refined by a learnable fusion function before prediction. (evidence: pp. 6, 7, 8, 14, 15, 16)","Training uses TrackingNet, LaSOT, GOT-10k, and COCO. Evaluation uses GOT-10k, TrackingNet, LaSOT, AVisT, UAV123, OTB100, and NfS30.","AUC, Precision (P), Normalized Precision (PNorm), Average Overlap (AO), Success Rate (SR), OP50, OP75, model parameters, MACs, FPS, and LaSOT AUC for runtime/complexity comparison.","Not reported for InvTrack itself in the extracted text. The paper explicitly states a limitation of a related low-light multi-object tracking formulation: it is specialized for paired well-lit/low-light multi-object tracking and not directly optimized for diverse degradations such as blur, resolution loss, noise, and compression artifacts.","InvTrack handles degradation through synthetic corruption, feature consistency, low-pass residual modules, and response-map fusion, but it does not report a restoration-oriented Mamba module, state-space restoration block, or image reconstruction objective.","pp. 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17","Supports: InvTrack is direct evidence that degradation robustness in RGB template-search tracking can be formulated through clean/degraded template and search branches, feature consistency, and response-map fusion. | Threatens: It already covers degradation-invariant single-object tracking with synthetic blur, low resolution, noise, and compression, so novelty cannot be claimed merely for adding degradation-aware training or clean/degraded feature consistency to tracking. | Remains unsolved: InvTrack does not report restoration-oriented Mamba, state-space restoration blocks, or reconstruction-guided feature recovery for template-search tracking; its degradation handling is invariant-feature learning and low-pass residual filtering rather than Mamba-based restoration.",high
