paper_id,title,task,modality,mamba_category,what_mamba_replaces,what_mamba_models,spatial_temporal_or_multimodal,problem_solved_by_mamba,problem_not_solved_by_mamba,restoration_related_yes_no_partial,degradation_related_yes_no_partial,tracking_specific_yes_no_partial,evidence_pages,notes_for_gap_analysis
2025_CVPR_MambaIRv2,MambaIRv2: Attentive State Space Restoration,"Image restoration, including classic/lightweight super-resolution, JPEG compression artifact reduction, and Gaussian color image denoising.",Single-image restoration from low-quality observations to high-quality images; not video or visual object tracking.,Mamba for image restoration,not reported,"Restoration features, non-causal attentive state-space querying, and reordered image-token sequences for restoration.",spatial,"Image restoration under super-resolution, JPEG artifact reduction, and denoising settings.","Tracking, template-search matching, temporal memory, and dynamic template update are not reported.",Yes,Yes,No,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Strong restoration-oriented Mamba evidence, but not tracking-specific."
2025_CVPR_RGBE_MamTrack,Exploring Historical Information for RGBE Visual Tracking with Mamba,"RGB-Event single-object visual tracking, with additional RGB-T generalization experiments",RGB plus event; additional experiments use visible plus thermal infrared,Mamba for temporal memory; Mamba for multimodal fusion; Mamba for target-aware scanning; Mamba for response-map or matching enhancement; Mamba for low-light or adverse-condition tracking,not reported,"Template-search interaction, RGB-event modality fusion, historical temporal cues, target appearance changes, and motion trends.",spatial; temporal; multimodal,"RGB-event template-search interaction, modality-selective fusion, and historical tracking cue modeling.","RGB-only image restoration, explicit degradation restoration, and degradation-aware template update are not reported.",No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8",Target-aware scanning and multimodal fusion are covered; restoration-oriented RGB recovery is not.
2025_CVPRW_SportMamba,SportMamba: Adaptive Non-Linear Multi-Object Tracking with State Space Models for Team Sports,Online multi-object tracking for team sports,"RGB sports video detections, player tracklets, ReID appearance features, and motion predictions; not RGB single-object template-search tracking",Mamba for temporal memory; Mamba for motion prediction; Mamba for low-light or adverse-condition tracking,not reported,"Bounding-box tracklet sequences, nonlinear player motion, lost-tracklet memory, and tracklet feature updates.",temporal,Adaptive nonlinear motion prediction and association for team-sports MOT.,"Visual restoration, RGB template-search degradation handling, and image enhancement are not reported.",No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Mamba is motion/tracklet oriented, not visual restoration oriented."
2025_ICASSP_MambaMOT,MambaMOT: State-Space Model as Motion Predictor for Multi-Object Tracking,"Multi-object tracking (MOT), tracking-by-detection motion prediction","RGB-video MOT through detector outputs and bounding-box tracklets; the Mamba model operates on trajectory boxes, not RGB template-search pairs",Mamba for temporal memory; Mamba for motion prediction,Kalman filtering for MOT motion prediction.,"Trajectory sequences, hidden states over tracklets, predicted boxes, and trajectory features.",temporal,Motion prediction in multi-object tracking using trajectory-sequence hidden states.,"Image degradation, visual restoration, and RGB template-search matching are not reported.",No,not reported,Yes,"pp. 1, 2, 3, 4",Direct evidence that Mamba has been used as a Kalman-style motion predictor in MOT.
2025_ICASSP_MambaTrack,MambaTrack: Exploiting Dual-Enhancement for Night UAV Tracking,Night UAV single-object tracking with vision-language prompts,RGB video plus language prompt,Mamba for image restoration; Mamba for multimodal fusion; Mamba as an efficient backbone; Mamba for low-light or adverse-condition tracking; Mamba for tracking-aware restoration,not reported,"Low-light template/search image enhancement, visual features, language features, and cross-modal vision-language interactions.",spatial; multimodal,Night UAV tracking through Mamba-based low-light enhancement and vision-language enhancement.,Generic degradation robustness beyond nighttime/low-light and language-free RGB restoration tracking are not reported.,Yes,Partial,Yes,"pp. 1, 2, 3, 4","Closest card to tracking-aware Mamba restoration, but scoped to low-light night UAV plus language prompts."
2025_IEEE_Transaction_MambaVT,MambaVT: Spatio-Temporal Contextual Modeling for Robust RGB-T Tracking,RGB-T single-object visual tracking,RGB plus thermal infrared (visible-thermal),Mamba for temporal memory; Mamba for video-level context; Mamba for multimodal fusion; Mamba for dynamic template update; Mamba for low-light or adverse-condition tracking,not reported,"Multimodal RGB-T template/search inputs, cross-frame templates, historical trajectory prompts, and online template memory.",spatial; temporal; multimodal,Spatio-temporal contextual modeling for RGB-T tracking with template memory and trajectory prompts.,RGB-only restoration and image-level degradation recovery are not reported.,No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 10","Robustness is visible-thermal and temporal-context based, not RGB restoration based."
2025_IROS_MambaNUT,MambaNUT: Nighttime UAV Tracking via Mamba-based Adaptive Curriculum Learning,Nighttime UAV single-object tracking,RGB video,Mamba as an efficient backbone; Mamba for low-light or adverse-condition tracking; Mamba for degradation-aware feature learning,ViT-style self-attention backbone pressure is the stated efficiency motivation; exact replacement is not reported.,Template/search patch tokens and robust feature representations under low-light nighttime UAV data.,spatial,Efficient nighttime UAV tracking with Vision Mamba and adaptive curriculum learning.,Image restoration/enhancement and generic degradation restoration are not part of the proposed method.,No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7","Low-light robustness is curriculum/backbone driven, not restoration driven."
2026_IEEE_Transaction_MambaEVT,MambaEVT: Event Stream-Based Visual Object Tracking Using State Space Model,Event-camera single-object visual tracking,Event-only tracking using event streams converted into event images,Mamba for temporal memory; Mamba for dynamic template update; Mamba as an efficient backbone; Mamba for low-light or adverse-condition tracking; Mamba for response-map or matching enhancement,not reported,"Event template/search features, short-term and long-term memory libraries, and dynamic template sequences.",spatial; temporal,Event-only tracking with efficient feature extraction and Memory Mamba dynamic template generation.,RGB-only degradation restoration and image-level enhancement are not reported.,No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 11, 12","Dynamic template memory is covered, but in event-only tracking rather than RGB restoration."
2026_IEEE_Transaction_SMTrack,SMTrack: State-Aware Mamba for Efficient Temporal Modeling in Visual Tracking,Visual object tracking with efficient temporal modeling.,RGB visual tracking. The paper explicitly contrasts SMTrack with MambaVT for RGB-T tracking.,Mamba for temporal memory; Mamba for video-level context; Mamba for dynamic template update; Mamba for target-aware scanning; Mamba for response-map or matching enhancement,not reported,"Saved template hidden states, current search interactions, state-aware scanned templates, and multi-frame propagation.",spatial; temporal,"Efficient temporal modeling, hidden-state memory, and dynamic template hidden-state updates for RGB tracking.",Restoration/enhancement and image-degradation tracking in the restoration sense are not reported.,No,Partial,Yes,"pp. 1, 2, 4, 5, 6, 7, 8, 10, 11",Strong evidence for Mamba memory/template update; not evidence for restoration-oriented degradation recovery.
InvTrack,InvTrack: Efficient Deep Object Tracking Neural Network with Invariant Feature Learning,Single-object visual object tracking under image-quality degradation.,RGB/video template-search tracking with clean and synthetically degraded template/search samples during training.,not reported,not reported,not reported,not reported,not reported,Mamba usage is not reported in the card; degradation-invariant tracking is handled by non-Mamba modules.,not reported,not reported,not reported,"pp. 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17","Use as non-Mamba degradation-invariant tracking evidence, not as a Mamba usage example."
