paper_id,title,task,modality,motion_blur,defocus_blur,low_resolution,sensor_noise,jpeg_compression,low_light,occlusion,fast_motion,mixed_degradation,real_degraded_video,synthetic_degraded_video,image_level_restoration,feature_level_restoration,degradation_invariant_learning,degradation_aware_memory_update,degradation_aware_template_update,degradation_aware_response_map_fusion,tracking_aware_restoration,target_aware_restoration,restoration_guided_template_search_matching,evidence_pages,short_explanation,notes_for_gap_analysis
2025_CVPR_MambaIRv2,MambaIRv2: Attentive State Space Restoration,"Image restoration, including classic/lightweight super-resolution, JPEG compression artifact reduction, and Gaussian color image denoising.",Single-image restoration from low-quality observations to high-quality images; not video or visual object tracking.,Not reported,Not reported,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Yes,Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Image restoration paper covering SR, JPEG artifact reduction, and Gaussian color denoising through attentive state-space restoration.","Strong restoration-oriented Mamba evidence, but no tracking/template-search evidence."
2025_CVPR_RGBE_MamTrack,Exploring Historical Information for RGBE Visual Tracking with Mamba,"RGB-Event single-object visual tracking, with additional RGB-T generalization experiments",RGB plus event; additional experiments use visible plus thermal infrared,Partial,Not reported,Not reported,Not reported,Not reported,Partial,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","RGB-event tracker reports fast motion, limited illumination, motion blur, partial occlusion, and degraded-condition attributes; robustness comes from multimodal fusion/history.","Target-aware scan and historical cues are covered, but RGB-only restoration is not."
2025_CVPRW_SportMamba,SportMamba: Adaptive Non-Linear Multi-Object Tracking with State Space Models for Team Sports,Online multi-object tracking for team sports,"RGB sports video detections, player tracklets, ReID appearance features, and motion predictions; not RGB single-object template-search tracking",Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Sports MOT discusses fast motion, occlusion, motion blur, missed detections, and weakened appearance cues; severe blur remains a limitation.","Blur/occlusion are handled through motion prediction, association, ReID, and EMA updates, not restoration."
2025_ICASSP_MambaMOT,MambaMOT: State-Space Model as Motion Predictor for Multi-Object Tracking,"Multi-object tracking (MOT), tracking-by-detection motion prediction","RGB-video MOT through detector outputs and bounding-box tracklets; the Mamba model operates on trajectory boxes, not RGB template-search pairs",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4",Discusses occlusion and nonlinear motion as MOT challenges; operates on trajectory boxes rather than image-quality degradation.,Trajectory-level Mamba motion prediction does not address visual degradation/restoration.
2025_ICASSP_MambaTrack,MambaTrack: Exploiting Dual-Enhancement for Night UAV Tracking,Night UAV single-object tracking with vision-language prompts,RGB video plus language prompt,Not reported,Not reported,Partial,Not reported,Not reported,Yes,Partial,Partial,Not reported,Yes,Not reported,Yes,Partial,Not reported,Not reported,Not reported,Not reported,Yes,Partial,Partial,"pp. 1, 2, 3, 4","Night UAV tracker uses Mamba-based low-light enhancement on cropped template/search regions; attributes also include low resolution, occlusion, and fast motion.","Closest evidence for tracking-aware restoration, but it is low-light/night UAV and language-assisted rather than generic RGB degradation."
2025_IEEE_Transaction_MambaVT,MambaVT: Spatio-Temporal Contextual Modeling for Robust RGB-T Tracking,RGB-T single-object visual tracking,RGB plus thermal infrared (visible-thermal),Partial,Not reported,Partial,Not reported,Not reported,Partial,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 10","RGB-T tracker reports low illumination, low resolution, partial occlusion, motion blur, frame loss, camera moving, and fast motion attributes.",Robustness is RGB-T/context based; dynamic template memory is not degradation-aware.
2025_IROS_MambaNUT,MambaNUT: Nighttime UAV Tracking via Mamba-based Adaptive Curriculum Learning,Nighttime UAV single-object tracking,RGB video,Not reported,Not reported,Not reported,Partial,Not reported,Yes,Not reported,Not reported,Not reported,Yes,Not reported,No,Partial,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7","Nighttime UAV tracker addresses low contrast/brightness/SNR through Vision Mamba and adaptive curriculum learning, without image enhancement.","Low-light feature robustness is curriculum/backbone based, not restoration-guided."
2026_IEEE_Transaction_MambaEVT,MambaEVT: Event Stream-Based Visual Object Tracking Using State Space Model,Event-camera single-object visual tracking,Event-only tracking using event streams converted into event images,Partial,Not reported,Not reported,Not reported,Not reported,Partial,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 11, 12","Event-only tracker discusses low light, high dynamic range, motion blur, fast motion, occlusion-like disappearance, appearance variation, and clutter through event tracking/memory.","Dynamic template memory exists, but not degradation-aware RGB restoration."
2026_IEEE_Transaction_SMTrack,SMTrack: State-Aware Mamba for Efficient Temporal Modeling in Visual Tracking,Visual object tracking with efficient temporal modeling.,RGB visual tracking. The paper explicitly contrasts SMTrack with MambaVT for RGB-T tracking.,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Partial,Partial,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 4, 5, 6, 7, 8, 10, 11",SMTrack mentions motion blur and template degradation; a template evaluator for high-quality hidden-state updating is analyzed but not central to final degradation handling.,"Template memory/update is strong evidence, but restoration and explicit synthetic degradation handling are not reported."
InvTrack,InvTrack: Efficient Deep Object Tracking Neural Network with Invariant Feature Learning,Single-object visual object tracking under image-quality degradation.,RGB/video template-search tracking with clean and synthetically degraded template/search samples during training.,Yes,Not reported,Yes,Yes,Yes,Not reported,Not reported,Not reported,Yes,Not reported,Yes,No,Partial,Yes,Not reported,Not reported,Yes,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17","Degradation-invariant tracker uses synthetic blur, downsampling, noise, and JPEG corruption with clean/degraded feature consistency and four-way response-map fusion.","Direct degradation-invariant template-search evidence, but no Mamba or restoration objective."
